supplier,recipient,ordered,designation_num,weapon_description,delivery_year,delivered_num,comments
" Australia
", Indonesia, 50, Bushmaster, APC, , , Produced in Indonesia as Sanca |  status uncertain
" Australia
", United States, (11), EPF, Transport ship, 2013-2018, 9, Part of $1.6 b 'JHSV' (Joint High Speed Vessel) programme
" Australia
", Canada, 18, F/A-18C Hornet, FGA aircraft, , , Second-hand (7 more ordered for spare parts) |  delivery planned 2019-2021
" Australia
", Fiji, , Guardian, Patrol craft, , , Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme
" Australia
", Japan, 4, Bushmaster, APC, 2018, 4, 
" Australia
", Kiribati, , Guardian, Patrol craft, , , Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme
" Australia
", Marshall Islands, , Guardian, Patrol craft, , , Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme
" Australia
", Micronesia, , Guardian, Patrol craft, , , Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme
" Australia
", New Zealand, , Guardian, Patrol craft, , , Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme |  for Cook Islands
" Australia
", Palau, , Guardian, Patrol craft, , , Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme
" Australia
", Papua New Guinea, , Guardian, Patrol craft, 2018, 1, Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme |  Papuan designation Ted Diro
" Australia
", Samoa, , Guardian, Patrol craft, , , Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme
" Australia
", Solomon Islands, , Guardian, Patrol craft, , , Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme
" Australia
", Timor-Leste, , Guardian, Patrol craft, , , Aid |  delivery planned 2023
" Australia
", Tonga, , Guardian, Patrol craft, , , Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme
" Australia
", Trinidad and Tobago, 2, Cape, Patrol craft, , , Selected 2018 but not yet ordered by end-2018
" Australia
", Tuvalu, , Guardian, Patrol craft, , , Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme
" Australia
", Vanuatu, , Guardian, Patrol craft, , , Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme
" Austria
", Czechia, 20, Pandur-2, APC, , , CZK2.1 b ($82 m) deal |  produced in Czech Republic |  incl 6 command post and 14 communications version |  delivery planned 2018-2020
" Austria
", Australia, 2, Camcopter S-100, UAV, 2017-2018, (2), AUD16 m ($12 m) 'Minor Project'
" Austria
", Bangladesh, 6, DA40, Light aircraft, , , DA40NG version
" Austria
", Indonesia, , Pandur-2, APC, 2017, (3), Probably from Czech production line
" Austria
", Indonesia,, , Pandur-2 FSV, 2016, 2017, (1)
" Austria
", Jamaica, 4, DA40, Light aircraft, , , 
" Austria
", Latvia, 47, M-109A5 155mm, Self-propelled gun, 2017-2018, (47), Second-hand
" Austria
", Uganda, 1, DA42, Light aircraft, 2018, 1, 
" Belarus
", Afghanistan, 4, Mi-24P/Mi-35P, Combat helicopter, , , Second-hand |  financed by India |  delivery planned 2019
" Belarus
", Viet Nam, (20), Vostok-E, Air search radar, 2017, (3), Assembled or produced in Viet Nam as RV-02
" Belarus
", Azerbaijan, (10), B-200BM Polonez, Self-propelled MRL, 2018, (10), 
" Belarus
", Cote d'Ivoire, (8), Kaiman, APV, 2018, (8), Incl for police
" Belarus
", Cote d'Ivoire,, (2), BTR-70, (2018), 2018, (2)
" Belarus
", Serbia, (4), MiG-29S, FGA aircraft, 2018, (4), Second-hand (but possibly modernized before delivery) |  aid
" Belarus
", Sudan, (12), Su-24/Fencer, Bomber aircraft, 2013-2016, 8, Second-hand
" Belgium
", Indonesia, 50, CM-90 90mm, Tank turret, , , For 14 Badak armoured fire support vehicles produced in Indonesia
" Belgium
", France, 4, AS365/AS565 Panther, Helicopter, 2018, (4), Second-hand |  probably lease |  AS-365 version
" Belgium
", Indonesia, 150, M-113, APC, 2014-2018, (150), Second-hand |  incl ARV version
" Belgium
", Indonesia,, , CT-CV 105mm, 2016, 2017, (1)
" Belgium
", Indonesia,, (4), M-108 VBCL, 2016, 2018, 4
" Belgium
", Indonesia,, (36), M-109A1 155mm, 2016, 2017-2018, 36
" Belgium
", Saudi Arabia, 119, CT-CV 105mm, Tank turret, , , Part of EUR3.2 b deal |  for 119 Piranha LAV-6 AFSV from Canada
" Belgium
", Saudi Arabia,, (119), MCT, 2014, , 
