Country Name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,country,latitude,longitude,name,code3
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,AW,12.52111,-69.968338,Aruba,ABW
Mujahedin (Afghanistan)*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,AF,33.93911,67.709953,Mujahedin (Afghanistan)*,AFG
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,AO,-11.202692,17.873887,Angola,AGO
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,41.153332,20.168331,Albania,ALB
UAE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,14,0,0,22,1,0,0,2,0,0,0,0,28,6,32,0,0,0,0,0,0,3,11,17,3,0,34,39,3,69,106,73,131,92,97,113,104,1006,AE,23.424076,53.847818,UAE,ARE
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,8,0,0,0,11,0,0,0,1,0,0,8,1,24,3,1,0,0,0,4,1,0,6,0,0,11,4,5,0,0,0,0,2,6,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,113,AR,-38.416097,-63.616672,Argentina,ARG
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,AM,40.069099,45.038189,Armenia,ARM
Australia,0,0,36,0,0,125,0,0,0,0,0,2,4,0,0,0,0,0,0,26,17,36,6,72,92,131,113,62,21,22,15,15,24,31,62,10,57,89,18,18,158,85,0,30,36,36,16,20,4,0,0,43,47,44,2,49,14,18,26,80,115,143,45,54,97,87,134,98,38,148,2771,AU,-25.274398,133.775136,Australia,AUS
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,37,126,54,70,60,56,58,248,40,30,12,12,30,20,20,10,17,0,18,1,29,23,24,17,83,3,3,4,63,100,15,44,49,53,25,29,15,10,16,22,6,3,1558,AT,47.516231,14.550072,Austria,AUT
Belgium,0,0,0,0,9,9,29,0,0,0,3,0,2,0,1,0,12,0,0,5,0,0,0,0,0,0,0,0,2,3,1,19,41,89,115,3,19,0,18,36,1,1,0,0,33,167,59,93,46,45,26,37,35,15,47,159,59,19,217,243,9,116,22,55,10,12,7,12,16,42,2017,BE,50.503887,4.469936,Belgium,BEL
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,BD,23.684994,90.356331,Bangladesh,BGD
