,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,854.3,904.3,565.1,1053.3,1276.9,1334.9,1234.7,1452.4,1752.4,1911.0,1826.5,1881.2,2091.6,2100.6,2206.4,2802.2,2924.8,3094.0,3945.8,5172.3,5280.6,5671.3,8652.2,9326.3,10161.6,9724.4,10412.7,10217.1,10073.4,9583.7,10303.6
Libya,. .,. .,. .,. .,. .,. .,. .,. .,1252.0,1443.6,1153.5,1085.5,819.7,452.5,541.4,685.1,690.9,614.4,639.1,1100.1,. .,. .,. .,2987.4,3964.7,3755.7,. .,. .,. .,. .,. .
Morocco,990.6,1069.7,1148.4,1228.5,1251.8,1365.3,1437.9,1447.1,1400.9,1445.0,1207.5,859.2,1470.3,1474.9,1819.2,1937.5,2031.1,2134.6,2408.4,2945.0,3055.1,3160.8,3342.7,3402.7,4065.6,4048.6,3268.4,3327.0,3461.5,3696.9,3721.3
Tunisia,234.1,247.9,260.4,289.7,276.2,297.1,342.9,397.5,358.2,365.8,357.0,332.4,335.6,345.4,407.4,444.7,468.5,497.2,490.7,578.9,564.8,571.2,715.2,681.2,759.4,908.4,979.5,987.7,858.9,844.2,1000.6
Sub-Saharan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,1948.6,1751.2,1031.2,794.1,1774.4,595.0,233.8,159.7,456.8,170.3,1066.6,583.6,404.3,438.7,670.0,817.5,1365.1,1970.3,2032.4,3163.6,3311.2,3500.8,3639.5,4144.6,6090.8,6846.2,3608.3,2764.1,3062.9,1983.6,1470.9
Benin,28.5,32.8,. .,. .,. .,. .,. .,. .,. .,. .,17.8,14.5,13.1,26.0,34.5,41.8,44.7,46.8,. .,64.7,. .,. .,. .,78.2,86.0,93.0,90.9,79.6,116.1,90.2,68.1
Botswana,102.8,156.3,172.3,178.0,185.7,170.4,165.9,140.6,160.5,181.1,169.6,184.7,210.3,223.5,301.0,314.0,283.8,272.9,306.5,332.4,330.1,348.7,363.3,326.9,306.4,346.3,383.7,514.5,522.4,498.1,515.9
Burkina Faso,66.8,84.5,69.5,71.1,60.5,30.3,36.9,37.1,38.5,39.5,41.7,36.7,36.8,42.5,50.8,65.7,73.8,72.6,107.8,117.0,127.3,123.7,138.9,147.7,166.1,177.2,147.9,149.5,191.1,305.8,357.9
Burundi,37.9,39.6,42.8,39.0,36.3,41.9,42.1,50.9,61.9,58.7,50.6,42.3,53.2,44.9,43.4,44.9,49.6,44.7,46.3,43.9,. .,. .,. .,59.0,60.9,62.2,66.2,66.5,63.9,65.4,64.7
Cameroon,146.9,180.6,178.2,183.8,168.2,94.5,113.6,116.9,118.7,137.2,144.7,123.0,124.3,145.6,188.5,221.1,223.1,256.9,296.7,346.6,343.3,354.1,347.5,354.4,392.8,401.5,353.8,387.4,408.2,429.9,422.3
Cape Verde,. .,. .,. .,3.6,2.7,3.4,6.2,4.3,4.1,4.5,5.0,6.8,4.6,4.5,5.8,6.5,7.1,7.0,7.9,10.8,8.4,8.2,9.8,9.7,9.8,10.0,8.9,10.2,9.4,10.7,9.7
Central African Rep.,. .,. .,21.6,23.2,19.1,10.7,13.0,12.2,. .,. .,. .,. .,. .,10.7,15.0,15.1,15.4,. .,19.1,31.5,36.0,51.6,49.9,42.7,47.9,38.4,26.7,26.8,27.5,30.5,32.4
Chad,56.4,34.3,. .,35.3,39.2,22.2,20.0,24.8,16.6,16.1,21.0,21.3,26.2,34.3,40.9,50.5,55.5,223.0,389.1,611.4,738.9,615.8,609.7,. .,726.5,392.4,221.0,309.6,219.1,253.2,234.7
"Congo, Republic of ",. .,. .,. .,125.6,109.5,. .,. .,. .,. .,. .,. .,. .,54.4,70.7,93.8,124.3,100.9,126.6,168.1,207.7,. .,218.4,. .,. .,367.1,704.9,. .,501.8,371.9,292.3,300.0
"Congo, Dem. Rep.",67.5,45.9,43.9,85.5,469.2,. .,. .,89.3,83.8,26.6,149.3,132.9,. .,. .,78.7,137.6,165.2,205.1,205.2,160.0,122.4,183.7,238.8,332.5,374.5,341.2,491.3,395.7,295.2,295.3,352.7
Côte d’Ivoire,129.7,144.0,144.2,156.8,148.6,84.1,. .,102.7,93.5,. .,. .,. .,. .,. .,213.0,250.8,249.9,267.4,323.6,368.9,420.1,387.7,357.3,407.6,430.0,521.3,569.7,602.5,501.6,607.8,536.0
Djibouti,31.1,31.1,31.8,33.6,31.1,30.7,29.6,24.5,26.6,26.7,26.8,26.0,26.0,33.3,41.8,37.4,44.8,49.5,34.5,36.3,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Equatorial Guinea,. .,. .,. .,. .,. .,2.4,3.4,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,196.3,292.8,371.9,. .,. .,. .,. .,166.5,137.3,139.2,136.2,149.5,. .
Eritrea,xxx,xxx,xxx,xxx,107.7,80.2,125.0,152.3,92.8,263.0,272.9,230.7,166.6,150.8,181.6,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Ethiopia,781.5,785.0,529.0,255.3,163.9,148.7,122.5,126.5,225.4,458.5,703.7,617.5,349.8,288.9,278.7,311.0,342.1,345.7,360.1,388.2,339.6,303.6,332.4,366.5,345.1,414.5,442.5,490.2,499.8,512.0,544.8
Gabon,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,91.3,90.0,94.7,108.4,125.1,118.1,130.2,. .,. .,. .,268.7,266.0,278.1,282.2,208.1,170.4,202.8,267.4,261.2,266.9
Gambia,2.7,3.5,4.0,3.5,2.6,2.3,2.9,3.9,4.2,4.0,3.5,3.3,2.5,2.3,2.0,1.9,3.0,2.8,4.5,17.2,7.1,. .,. .,11.2,10.4,14.6,14.3,. .,. .,11.5,14.5
Ghana,22.6,27.6,41.4,41.7,41.0,37.8,49.1,44.4,45.5,57.5,59.3,50.9,32.4,37.0,53.2,56.4,64.2,75.7,126.1,113.7,118.3,122.5,234.3,337.3,255.0,252.7,190.5,161.8,189.1,218.4,233.3
Guinea,. .,. .,71.8,55.7,44.0,45.9,. .,. .,44.4,45.0,55.2,46.0,87.7,98.1,84.1,81.0,. .,. .,. .,. .,. .,. .,. .,168.9,196.8,196.9,221.4,161.9,181.6,197.1,195.1
