Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Albania,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Angola,,,,8,,,,,,,,,,2,,,,,,,,,,,,,,,,
Argentina,,6,0,,11,4,5,,,,,2,6,2,,,,2,,,,,1,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Aruba,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
Australia,18,158,85,,30,36,36,16,20,4,,,43,47,44,2,49,14,18,26,80,115,143,45,54,97,87,134,98,38
Austria,12,30,20,20,10,17,,18,1,29,23,24,17,83,3,3,4,63,100,15,44,49,53,25,29,15,10,16,22,6
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Bahrain,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Belarus,,,,,8,,7,129,341,63,452,293,49,63,57,19,53,43,6,224,41,159,96,65,268,68,142,152,50,45
Belgium,36,1,1,,,33,167,59,93,46,45,26,37,35,15,47,159,59,19,217,243,9,116,22,55,10,12,7,12,16
Bosnia-Herzegovina,,,,,,,,,,,,,,4,,,,,,,,,14,,3,,,,,
Brazil,47,96,114,90,36,54,33,23,23,16,,,,19,,46,1,44,53,92,43,143,31,33,31,42,41,111,37,100
Brunei,,,,,,,,,,,,,,,,,,,,,,,24,,,,,12,,
Bulgaria,5,6,42,16,28,55,1,21,6,39,167,2,10,37,44,19,86,5,9,4,16,4,2,13,21,14,70,61,30,14
Cambodia,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,,,,,
Canada,49,101,121,143,146,167,263,160,95,40,79,74,129,183,288,286,242,244,342,247,192,250,330,277,191,203,346,120,72,111
Chile,4,,3,8,,,,29,,2,1,1,,1,,,,,,100,,,,,,20,,,,0
