Supplier,Recipient,Ordered,Weapon model,Weapon category,Ordered year,Delivered year,Delivered num.,Comments,latS,longS,codeS,latR,longR,codeR
Albania,Burkina Faso,(12),M-43 120mm,Mortar,(2011),2011,12,Probably second-hand,41.153332,20.168331,ALB,12.238333,-1.561593,BFA
Algeria,Western Sahara,(3),BTR-60PB,APC,(2016),2016,(3),Second-hand | aid,28.033886,1.659626,DZA,24.215527,-12.885834,ESH
Angola,Cote dIvoire,(2),BMP-2,IFV,2002,2002,(2),Second-hand | for use against fight rebels,-11.202692,17.873887,AGO,7.539989,-5.54708,CIV
Angola,Cote dIvoire,2,T-55,Tank,2002,2002,2,Second-hand | for use against rebels,-11.202692,17.873887,AGO,7.539989,-5.54708,CIV
Angola,United States,250,FIM-92 Stinger,Portable SAM,1992,1992,250,Second-hand | delivered in 1980s as aid to UNITA and bought back after peace agreement in Angola,-11.202692,17.873887,AGO,37.09024,-95.712891,USA
Argentina,Bolivia,(37),M-3/M-5 Half-track,APC,2006,2006,(37),Second-hand | aid | M-5 and M-9 versions,-38.416097,-63.616672,ARG,-16.290154,-63.588653,BOL
Argentina,Colombia,3,IA-58A Pucara,Ground attack ac,1989,1990,3,Second-hand | aid | for anti-narcotics operations,-38.416097,-63.616672,ARG,4.570868,-74.297333,COL
Argentina,Ecuador,18,M-101A1 105mm,Towed gun,(1995),1995,18,Second-hand but modernized before delivery | part of illegal $34 m deal,-38.416097,-63.616672,ARG,-1.831239,-78.183406,ECU
Argentina,Paraguay,20,M-3/M-5 Half-track,APC,2007,2011,(20),Second-hand | aid | M-9 version,-38.416097,-63.616672,ARG,-23.442503,-58.443832,PRY
Argentina,Spain,1,CH-47C Chinook,Transport helicopter,2001,2001,1,Second-hand,-38.416097,-63.616672,ARG,40.463667,-3.74922,ESP
Argentina,Sri Lanka,4,IA-58A Pucara,Ground attack ac,1992,1993-1994,4,$11 m deal | produced 1980s on speculation for export and sold to Sri Lanka 1992,-38.416097,-63.616672,ARG,7.873054,80.771797,LKA
Argentina,Uruguay,1,PA-34 Seneca,Light transport ac,(1990),1991,1,,-38.416097,-63.616672,ARG,-32.522779,-55.765835,URY
Argentina,Uruguay,1,PA-34 Seneca,Light transport ac,(1993),1994,1,,-38.416097,-63.616672,ARG,-32.522779,-55.765835,URY
Argentina,Uruguay,1,IA-58A Pucara,Ground attack ac,2000,2000,1,Second-hand | loan until 2001,-38.416097,-63.616672,ARG,-32.522779,-55.765835,URY
Argentina,Uruguay,1,IA-58A Pucara,Ground attack ac,2002,2002,1,Second-hand: loan until 2003,-38.416097,-63.616672,ARG,-32.522779,-55.765835,URY
Armenia,Sudan,1,An-32,Transport aircraft,(2005),2006,1,Second-hand | probably | ordered via Ukraine | modernized before delivery in Ukraine | for police,40.069099,45.038189,ARM,12.862807,30.217636,SDN
Aruba,Israel,1,Boeing-707,Transport aircraft,(1996),1996,1,Second-hand | for modification to tanker/transport aircraft in Israel,12.52111,-69.968338,ABW,31.046051,34.851612,ISR
Australia,India,11,Thornycroft 26m,Patrol craft,(2004),2006-2011,(11),For coast guard,-25.274398,133.775136,AUS,20.593684,78.96288,IND
Australia,Jordan,6,SB7L-360 Seeker,Light aircraft,2006,2006,(6),Assembled from kits,-25.274398,133.775136,AUS,30.585164,36.238414,JOR
Australia,Malaysia,3,Eagle-ARV,UAV/light aircraft,(2000),2001,3,For 1 Eagle-ARV UAV system,-25.274398,133.775136,AUS,4.210484,101.975766,MYS
Australia,New Zealand,2,Tenix-1600,OPV,2004,2010,2,Part of NZD500 m ($317 m) Project Protector | partly produced in New Zealand and assembled in Australia | New Zealand designation Otago,-25.274398,133.775136,AUS,-40.900557,174.885971,NZL
Australia,New Zealand,4,Tenix-340,Patrol craft,2004,2009,4,Part of NZD500 m ($317 m) Project Protector,-25.274398,133.775136,AUS,-40.900557,174.885971,NZL
Australia,United States,1,EPF,Transport ship,2008,2012,1,$185 m deal (part of $1.6 b JHSV (Joint High Speed Vessel) programme),-25.274398,133.775136,AUS,37.09024,-95.712891,USA
Australia,United States,(11),EPF,Transport ship,2009,2013-2019,10,Part of $1.6 b JHSV (Joint High Speed Vessel) programme,-25.274398,133.775136,AUS,37.09024,-95.712891,USA
Australia,Brunei,2,Teraban,Landing craft,1995,1996,2,,-25.274398,133.775136,AUS,4.535277,114.727669,BRN
Australia,Canada,18,F/A-18C Hornet,FGA aircraft,2018,2019,(6),Second-hand (7 more ordered for spare parts) | delivery planned 2019-2021,-25.274398,133.775136,AUS,56.130366,-106.346771,CAN
Australia,Chile,2,Perry,Frigate,2019,,,Second-hand,-25.274398,133.775136,AUS,-35.675147,-71.542969,CHL
Australia,Fiji,3,ASI-315,Patrol craft,1992,1994-1995,3,Pacific Patrol Boat/Defence Cooperation aid programme | Fijian designation Kula,-25.274398,133.775136,AUS,-16.578193,179.414413,FJI
Australia,Fiji,2,Guardian,Patrol craft,2014,,,Part of SEA-3036 Pacific Patrol Boat Replacement aid programme | delivery planned 2020,-25.274398,133.775136,AUS,-16.578193,179.414413,FJI
Australia,Fiji,10,Bushmaster,APC,2017,2017,10,Second-hand | for Fijian UN peacekeeping forces (in Golan/Syria),-25.274398,133.775136,AUS,-16.578193,179.414413,FJI
Australia,Ghana,2,SB7L-360 Seeker,Light aircraft,2004,2006,(2),From Jordanian production line,-25.274398,133.775136,AUS,7.946527,-1.023194,GHA
Australia,India,2,Thornycroft 26m,Patrol craft,(2001),2002,2,Assembled from kits in India | for coast guard,-25.274398,133.775136,AUS,20.593684,78.96288,IND
Australia,Indonesia,(16),Nomad,Light transport ac,1996,1997,(16),Second-hand | AUD2 m deal | incl N-22B and N-24A version,-25.274398,133.775136,AUS,-0.789275,113.921327,IDN
Australia,Indonesia,(3),Nomad,Light transport ac,1996,1997,(3),,-25.274398,133.775136,AUS,-0.789275,113.921327,IDN
Australia,Indonesia,(4),Nomad Searchmaster-L,MP aircraft,2001,2003,4,Second-hand | incl 2 N-24 version,-25.274398,133.775136,AUS,-0.789275,113.921327,IDN
Australia,Indonesia,3,Bushmaster,APC,2013,2014,3,,-25.274398,133.775136,AUS,-0.789275,113.921327,IDN
Australia,Indonesia,4,C-130H Hercules,Transport aircraft,2013,2013-2015,(4),Second-hand but modernized for AUD63 m before delivery | aid,-25.274398,133.775136,AUS,-0.789275,113.921327,IDN
Australia,Indonesia,5,C-130H Hercules,Transport aircraft,(2015),2016-2017,(5),Second-hand,-25.274398,133.775136,AUS,-0.789275,113.921327,IDN
Australia,Iraq,2,SB7L-360 Seeker,Light aircraft,2004,2004,2,AUD2.8 m ($2 m) deal | ordered via and assembled in Jordan,-25.274398,133.775136,AUS,33.223191,43.679291,IRQ
Australia,Jamaica,12,Bushmaster,APC,2013,2015-2016,(12),,-25.274398,133.775136,AUS,18.109581,-77.297508,JAM
Australia,Japan,4,Bushmaster,APC,2014,2014,4,AUD3.6 m ($2.7 m) deal,-25.274398,133.775136,AUS,36.204824,138.252924,JPN
Australia,Japan,4,Bushmaster,APC,(2017),2018,4,,-25.274398,133.775136,AUS,36.204824,138.252924,JPN
Australia,Kiribati,1,ASI-315,Patrol craft,1992,1994,1,Pacific Patrol Boat/Defence Cooperation aid programme | Kiribati designation Teanoai,-25.274398,133.775136,AUS,-3.370417,-168.734039,KIR
Australia,Kiribati,1,Guardian,Patrol craft,2014,,,Part of SEA-3036 Pacific Patrol Boat Replacement aid programme | delivery planned 2020,-25.274398,133.775136,AUS,-3.370417,-168.734039,KIR
Australia,Kuwait,2,OPV-310,Patrol craft,1991,1993,2,Kuwaiti designation Inttisar,-25.274398,133.775136,AUS,29.31166,47.481766,KWT
Australia,Kuwait,2,OPV-310,Patrol craft,1992,1993,2,Kuwaiti designation Inttisar,-25.274398,133.775136,AUS,29.31166,47.481766,KWT
Australia,Kuwait,22,S-600,APC,1997,1997-1998,22,$12 m deal | for National Guard,-25.274398,133.775136,AUS,29.31166,47.481766,KWT
Australia,Lesotho,1,GA-8 Airvan,Light aircraft,(2003),2004,1,,-25.274398,133.775136,AUS,-29.609988,28.233608,LSO
Australia,Marshall Islands,1,ASI-315,Patrol craft,1989,1991,1,Pacific Patrol Boat/Defence Cooperation aid programme | Marshall Islands designation Lomor,-25.274398,133.775136,AUS,7.131474,171.184478,MHL
Australia,Marshall Islands,1,Guardian,Patrol craft,2014,,,Part of SEA-3036 Pacific Patrol Boat Replacement aid programme | delivery planned 2022,-25.274398,133.775136,AUS,7.131474,171.184478,MHL
Australia,Micronesia,2,ASI-315,Patrol craft,1989,1990,2,Pacific Patrol Boat/Defence Cooperation aid programme | Micronesian designation Palikir,-25.274398,133.775136,AUS,7.425554,150.550812,FSM
Australia,Micronesia,1,ASI-315,Patrol craft,1997,1997,1,Pacific Patrol Boat/Defence Cooperation aid programme | Micronesian designation Palikir,-25.274398,133.775136,AUS,7.425554,150.550812,FSM
Australia,Micronesia,2,Guardian,Patrol craft,2014,,,Part of SEA-3036 Pacific Patrol Boat Replacement aid programme | delivery planned 2022,-25.274398,133.775136,AUS,7.425554,150.550812,FSM
Australia,Netherlands,25,Bushmaster,APC,2006,2006,25,EUR25 m ($32 m) deal | for use in Afghanistan,-25.274398,133.775136,AUS,52.132633,5.291266,NLD
Australia,Netherlands,(11),Bushmaster,APC,2007,2007-2008,(11),EUR8.5 m deal | for use in Afghanistan,-25.274398,133.775136,AUS,52.132633,5.291266,NLD
Australia,Netherlands,13,Bushmaster,APC,2008,2008,13,EUR15 m deal | for use in Afghanistan,-25.274398,133.775136,AUS,52.132633,5.291266,NLD
Australia,Netherlands,14,Bushmaster,APC,2009,2009,(14),EUR14 m deal | for use in Afghanistan,-25.274398,133.775136,AUS,52.132633,5.291266,NLD
Australia,Netherlands,9,Bushmaster,APC,2009,2009,9,$15 m deal | for use in Afghanistan,-25.274398,133.775136,AUS,52.132633,5.291266,NLD
Australia,Netherlands,14,Bushmaster,APC,2009,2009,14,EUR11 m deal | for use in Afghanistan,-25.274398,133.775136,AUS,52.132633,5.291266,NLD
Australia,Netherlands,12,Bushmaster,APC,2015,2016-2017,(12),,-25.274398,133.775136,AUS,52.132633,5.291266,NLD
Australia,Netherlands,(8),Bushmaster,APC,(2016),2017,(8),,-25.274398,133.775136,AUS,52.132633,5.291266,NLD
Australia,New Zealand,(20),Penguin-2,Anti-ship missile,2013,2014-2015,(20),Second-hand | Penguin-2 Mod-7 version for SH-2G helicopters | sold via Norwegian producer,-25.274398,133.775136,AUS,-40.900557,174.885971,NZL
Australia,New Zealand,1,Guardian,Patrol craft,2014,,,Part of SEA-3036 Pacific Patrol Boat Replacement aid programme | for Cook Islands | delivery planned 2022,-25.274398,133.775136,AUS,-40.900557,174.885971,NZL
Australia,New Zealand,5,Bushmaster,APC,2015,2018,5,Second-hand,-25.274398,133.775136,AUS,-40.900557,174.885971,NZL
Australia,Oman,2,HSSV-72,Transport ship,2014,2016,2,AUD125 m deal,-25.274398,133.775136,AUS,21.512583,55.923255,OMN
Australia,Pakistan,45,Mirage-3E,FGA aircraft,1990,1990-1991,(45),Second-hand | $28 m deal | Mirage-3OA version | incl some Mirage-3OD | modernized in Pakistan after delivery | 5 more for for spares only,-25.274398,133.775136,AUS,30.375321,69.345116,PAK
Australia,Palau,1,ASI-315,Patrol craft,1995,1996,1,Pacific Patrol Boat/Defence Cooperation aid programme | Palau designation Remeliik,-25.274398,133.775136,AUS,7.51498,134.58252,PLW
Australia,Palau,1,Guardian,Patrol craft,2014,,,Part of SEA-3036 Pacific Patrol Boat Replacement aid programme | delivery planned 2020,-25.274398,133.775136,AUS,7.51498,134.58252,PLW
