,Country Name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,country,latitude,longitude,name,code3
0,Afghanistan,0,0,0,0,0,4,3,92,254,405,40,56,64,40,56,91,198,230,145,92,9,149,124,0,0,90,230,75,283,360,352,382,296,238,375,160,316,622,1069,2165,1873,1411,0,0,0,0,0,0,0,0,0,0,34,0,0,35,3,41,150,344,377,660,521,235,288,116,176,252,361,391,16194,AF,33.93911,67.709953,Afghanistan,AFG
6,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,242,184,105,146,111,155,241,379,576,482,531,705,1186,965,152,140,0,0,122,111,1,44,7,149,358,147,156,148,48,8,39,7,31,29,20,0,0,0,31,2,47,142,108,270,166,8489,AO,-11.202692,17.873887,Angola,AGO
2,Albania,20,10,11,21,22,132,98,42,47,129,62,74,46,11,7,140,74,161,265,297,250,330,134,104,134,53,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,2,0,7,0,5,0,0,0,0,15,7,7,7,0,4,1,5,2773,AL,41.153332,20.168331,Albania,ALB
196,UAE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,69,24,26,93,106,144,270,294,207,18,203,430,159,164,312,144,137,199,42,652,559,235,201,579,566,419,480,688,758,437,247,186,222,685,1211,2171,2023,919,753,597,643,1236,1155,2311,767,1222,955,965,1197,644,28745,AE,23.424076,53.847818,UAE,ARE
8,Argentina,75,445,38,4,5,0,39,14,70,161,111,205,48,19,19,7,93,146,430,223,248,369,396,236,450,260,494,198,447,451,445,867,421,1322,685,450,229,224,71,14,169,0,27,14,209,43,28,105,172,276,213,6,15,11,169,3,9,24,23,11,11,15,3,12,7,21,17,43,25,53,12161,AR,-38.416097,-63.616672,Argentina,ARG
10,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,181,47,70,0,0,2,0,0,0,0,118,0,0,1,0,46,52,5,0,16,0,0,110,18,0,248,916,AM,40.069099,45.038189,Armenia,ARM
11,Australia,468,371,410,153,125,637,451,445,534,412,113,40,571,383,528,900,694,764,450,828,240,319,60,701,884,96,81,268,1019,191,404,449,131,633,626,515,819,592,743,693,352,213,365,449,262,64,597,35,542,673,338,1236,663,801,472,459,727,677,445,777,1511,1559,868,236,919,1464,1025,1671,1575,1399,41110,AU,-25.274398,133.775136,Australia,AUS
12,Austria,0,0,0,2,0,11,98,146,11,24,16,27,56,201,73,78,61,47,1,12,102,135,103,22,22,6,12,0,8,72,195,73,97,145,13,28,19,7,117,84,5,6,5,9,40,24,10,182,228,48,25,15,69,42,56,24,4,269,190,286,7,8,8,6,2,1,13,8,4,14,3731,AT,47.516231,14.550072,Austria,AUT
13,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,0,0,0,0,0,3,0,89,0,4,53,159,213,33,145,155,557,339,404,612,335,274,275,322,25,4072,AZ,40.143105,47.576927,Azerbaijan,AZE
31,Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,3,0,0,0,0,0,0,0,0,0,0,1,5,3,9,2,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,2,0,5,0,0,1,2,0,0,0,58,BI,-3.373056,29.918886,Burundi,BDI
19,Belgium,198,485,920,705,411,361,682,680,897,179,92,132,188,569,644,507,101,35,216,232,528,509,512,599,111,128,177,180,427,786,574,522,438,583,575,294,98,106,422,218,321,134,49,77,50,17,3,53,55,58,35,29,48,21,15,3,27,174,203,91,32,21,33,46,104,56,4,7,1,5,17795,BE,50.503887,4.469936,Belgium,BEL
21,Benin,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,26,6,0,0,10,3,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,3,0,1,0,0,20,2,0,0,0,0,0,0,92,BJ,9.30769,2.315834,Benin,BEN
30,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,8,8,9,0,0,0,9,1,16,9,2,3,0,12,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,12,3,4,0,2,0,15,4,0,5,0,7,2,23,7,174,BF,12.238333,-1.561593,Burkina Faso,BFA
16,Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,78,44,39,70,62,45,1,55,62,127,109,59,63,3,0,241,301,187,79,113,44,61,119,7,26,1,186,203,280,33,8,32,10,221,88,13,0,36,117,184,645,206,632,443,322,149,743,6557,BD,23.684994,90.356331,Bangladesh,BGD
29,Bulgaria,156,63,97,349,617,307,289,498,631,165,474,523,494,538,326,372,218,329,250,532,765,395,465,290,305,394,375,492,885,322,574,961,575,728,910,598,918,435,243,334,758,340,41,1,1,1,122,0,0,7,0,0,0,2,12,132,22,48,116,119,8,29,5,0,0,3,0,0,0,2,19961,BG,42.733883,25.48583,Bulgaria,BGR
15,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,0,1,0,0,2,9,8,19,40,59,10,131,55,134,250,137,71,362,68,42,1,8,71,51,198,9,0,299,28,54,1,10,66,63,26,20,0,103,1,26,72,1,17,26,28,65,16,2665,BH,25.930414,50.637772,Bahrain,BHR
14,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,33,0,0,0,2,3,0,0,0,0,0,0,0,0,33,0,0,0,0,3,0,0,0,1,0,0,0,0,30,16,20,12,0,0,163,BS,25.03428,-77.39628,Bahamas,BHS
25,Bosnia-Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,58,70,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,BA,43.915886,17.679076,Bosnia-Herzegovina,BIH
18,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0,0,0,0,0,6,140,0,0,3,0,75,75,75,66,96,115,147,142,331,1354,BY,53.709807,27.953389,Belarus,BLR
