"TIV of arms exports from all, 2000-2019",,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,
Generated: 04 April 2020,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
Albania,,,,,,,,,,,,0,,,,,,,,,0
Algeria,,,,,,,,,,,,,,,,,0,,,,0
Angola,,,2,,,,,,,,,,,,,,,,,,2
Argentina,2,6,2,,,,2,,,,,1,,,,,,,,,13
Armenia,,,,,,,4,,,,,,,,,,,,,,4
Australia,,43,47,44,2,49,14,18,26,80,115,143,45,54,97,87,134,98,38,148,1281
Austria,24,17,83,3,3,4,63,100,15,44,49,53,25,29,15,10,16,22,6,3,583
Bahamas,,,,,,,,,,,,,,,,0,,,,,0
Bahrain,,2,,,,,,,,,,,,,,,,,,,2
Belarus,293,49,63,57,19,53,43,6,224,41,159,96,65,268,68,142,152,50,45,115,2008
Belgium,26,37,35,15,47,159,59,19,217,243,9,116,22,55,10,12,7,12,16,42,1158
Bosnia-Herzegovina,,,4,,,,,,,,,14,,3,,,,,,,21
Brazil,,,19,,46,1,44,53,92,43,143,31,33,31,42,41,111,37,100,10,877
Brunei,,,,,,,,,,,,24,,,,,12,,,,36
Bulgaria,2,10,37,44,19,86,5,9,4,16,4,2,13,21,14,70,61,30,14,,459
Cambodia,1,,,,,,,,,,,,,,,,,,,,1
Canada,74,129,183,288,286,242,244,342,247,192,250,330,277,191,203,346,120,72,111,188,4316
Chile,1,,1,,,,,,100,,,,,,20,,,,0,,123
China,299,515,525,700,413,286,668,510,652,1140,1478,1277,1540,2080,1226,1799,2372,1346,1140,1423,21391
Colombia,,,5,,,,,,,,,,0,,,,,10,,10,26
Costa Rica,,,,,,,,,0,,,,,,,,,,,,0
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,1,,1
Croatia,2,,,,,,,,,,,,,,,,,3,,,5
Czechia,81,88,60,64,1,70,44,32,32,23,4,10,8,40,26,150,148,88,88,13,1071
Denmark,20,1,10,5,,,9,6,17,14,8,30,33,9,17,25,25,21,28,4,281
Dominican Republic,,,,,,,,,,,,,,,,,,4,,,4
Ecuador,,,,,,,,,,,,,,,6,,,,2,,8
Egypt,,,,,,,,,,,,,,,7,22,,,,2,32
Eritrea,,,,,,,0,,,,,,,,,,,,,,0
Estonia,,,,,,,,,,,,,,,,0,,,,,0
European Union**,,,,,,,,,,,,,,,,,,,,0,0
Finland,12,33,34,40,34,52,138,77,79,52,61,41,104,77,93,20,43,25,42,24,1080
France,1082,1416,1433,1400,2283,1817,1666,2369,1968,1888,866,1731,1010,1468,1627,1995,2041,2367,1773,3368,35567
Georgia,69,,69,,16,,,,,,,,,,,,6,7,,,167
Germany,1612,896,906,1652,1111,2071,2758,3292,2362,2461,2664,1317,747,779,1788,1766,2514,1982,1071,1185,34935
Ghana,,,,,,19,,,,,,,,,,,,,,,19
Greece,2,2,,6,22,13,23,,,,,,,,,,,30,,,98
Hungary,,,34,,,82,,9,,,,,,41,,,,,,,166
India,21,2,0,4,27,19,33,23,15,27,5,3,,14,36,42,45,56,43,115,530
Indonesia,,16,49,,25,8,8,,1,,,8,,,,,86,94,15,8,319
Iran,0,0,3,9,1,2,75,,43,45,45,86,21,12,47,15,5,20,,,428
Ireland,,,,,,16,32,31,28,28,26,1,26,27,14,,,,,,227
Israel,404,474,579,409,609,510,406,554,373,744,637,538,455,420,393,720,1392,1195,655,369,11836
Italy,208,270,467,365,263,832,553,749,422,512,539,947,747,862,671,676,618,793,555,491,11541
Japan,,,,,,,,40,,,,,,,,,,2,3,,46
Jordan,,,,,42,20,,13,13,28,117,,21,25,114,16,17,80,1,86,592
Kazakhstan,19,12,,,5,,6,,,,,,,,,,,,,,43
Kyrgyzstan,,,,92,,,18,18,14,,,,,,,4,5,5,,,156
Lebanon,,,45,,,,,,,,,,,,,,,,,,45
Libya,,,21,16,113,113,18,10,18,32,28,0,,,,,,,,,368
Libya HoR,,,,,,,,,,,,,,,,,1,,0,,1
Lithuania,,,3,,,,,,,,,,,,,,,,60,,63
Luxembourg,,,,,,,,0,,,,,,,,,,,,,0
Malawi,1,,,,,,,,,,,,,,,,,,,,1
Malaysia,,,,,,,,,,0,,,,15,15,,,,,,30
Malta,,,,,10,,,,,,,,,,,5,,,,,15
