Supplier,Recipient,Ordered,Weapon model,Weapon category,Ordered year,Delivered year,Delivered num.,Comments,latS,longS,codeS,latR,longR,codeR
Albania,Burkina Faso,(12),M-43 120mm,Mortar,(2011),2011,12,Probably second-hand,41.153332,20.168331,ALB,12.238333,-1.561593,BFA
Algeria,Western Sahara,(3),BTR-60PB,APC,(2016),2016,(3),Second-hand | aid,28.033886,1.659626,DZA,24.215527,-12.885834,ESH
Argentina,Paraguay,20,M-3/M-5 Half-track,APC,2007,2011,(20),Second-hand | aid | M-9 version,-38.416097,-63.616672,ARG,-23.442503,-58.443832,PRY
Australia,India,11,Thornycroft 26m,Patrol craft,(2004),2006-2011,(11),For coast guard,-25.274398,133.775136,AUS,20.593684,78.96288,IND
Australia,Indonesia,50,Bushmaster,APC,(2016),,,Produced in Indonesia as Sanca | status uncertain,-25.274398,133.775136,AUS,-0.789275,113.921327,IDN
Australia,New Zealand,2,Tenix-1600,OPV,2004,2010,2,Part of NZD500 m ($317 m) Project Protector | partly produced in New Zealand and assembled in Australia | New Zealand designation Otago,-25.274398,133.775136,AUS,-40.900557,174.885971,NZL
Australia,United States,1,EPF,Transport ship,2008,2012,1,$185 m deal (part of $1.6 b JHSV (Joint High Speed Vessel) programme),-25.274398,133.775136,AUS,37.09024,-95.712891,USA
Australia,United States,(11),EPF,Transport ship,2009,2013-2018,9,Part of $1.6 b JHSV (Joint High Speed Vessel) programme,-25.274398,133.775136,AUS,37.09024,-95.712891,USA
Australia,Canada,18,F/A-18C Hornet,FGA aircraft,2018,,,Second-hand (7 more ordered for spare parts) | delivery planned 2019-2021,-25.274398,133.775136,AUS,56.130366,-106.346771,CAN
Australia,Fiji,,Guardian,Patrol craft,2014,,,Part of SEA-3036 Pacific Patrol Boat Replacement aid programme,-25.274398,133.775136,AUS,-16.578193,179.414413,FJI
Australia,Fiji,10,Bushmaster,APC,2017,2017,10,Second-hand | for Fijian UN peacekeeping forces (in Golan/Syria),-25.274398,133.775136,AUS,-16.578193,179.414413,FJI
Australia,Indonesia,3,Bushmaster,APC,2013,2014,3,,-25.274398,133.775136,AUS,-0.789275,113.921327,IDN
Australia,Indonesia,4,C-130H Hercules,Transport aircraft,2013,2013-2015,(4),Second-hand but modernized for AUD63 m before delivery | aid,-25.274398,133.775136,AUS,-0.789275,113.921327,IDN
Australia,Indonesia,5,C-130H Hercules,Transport aircraft,(2015),2016-2017,(5),Second-hand,-25.274398,133.775136,AUS,-0.789275,113.921327,IDN
Australia,Jamaica,12,Bushmaster,APC,2013,2015-2016,(12),,-25.274398,133.775136,AUS,18.109581,-77.297508,JAM
Australia,Japan,4,Bushmaster,APC,2014,2014,4,AUD3.6 m ($2.7 m) deal,-25.274398,133.775136,AUS,36.204824,138.252924,JPN
Australia,Japan,4,Bushmaster,APC,(2017),2018,4,,-25.274398,133.775136,AUS,36.204824,138.252924,JPN
Australia,Kiribati,,Guardian,Patrol craft,2014,,,Part of SEA-3036 Pacific Patrol Boat Replacement aid programme,-25.274398,133.775136,AUS,-3.370417,-168.734039,KIR
Australia,Marshall Islands,,Guardian,Patrol craft,2014,,,Part of SEA-3036 Pacific Patrol Boat Replacement aid programme,-25.274398,133.775136,AUS,7.131474,171.184478,MHL
Australia,Micronesia,,Guardian,Patrol craft,2014,,,Part of SEA-3036 Pacific Patrol Boat Replacement aid programme,-25.274398,133.775136,AUS,7.425554,150.550812,FSM
Australia,Netherlands,12,Bushmaster,APC,2015,2016-2017,(12),,-25.274398,133.775136,AUS,52.132633,5.291266,NLD
Australia,Netherlands,(8),Bushmaster,APC,(2016),2017,(8),,-25.274398,133.775136,AUS,52.132633,5.291266,NLD
Australia,New Zealand,(20),Penguin-2,Anti-ship missile,2013,2014-2015,(20),Second-hand | Penguin-2 Mod-7 version for SH-2G helicopters | sold via Norwegian producer,-25.274398,133.775136,AUS,-40.900557,174.885971,NZL
Australia,New Zealand,,Guardian,Patrol craft,2014,,,Part of SEA-3036 Pacific Patrol Boat Replacement aid programme | for Cook Islands,-25.274398,133.775136,AUS,-40.900557,174.885971,NZL
Australia,New Zealand,5,Bushmaster,APC,2015,2017,5,Second-hand,-25.274398,133.775136,AUS,-40.900557,174.885971,NZL
Australia,Oman,2,HSSV-72,Transport ship,2014,2016,2,AUD125 m deal,-25.274398,133.775136,AUS,21.512583,55.923255,OMN
Australia,Palau,,Guardian,Patrol craft,2014,,,Part of SEA-3036 Pacific Patrol Boat Replacement aid programme,-25.274398,133.775136,AUS,7.51498,134.58252,PLW
Australia,Papua New Guinea,1,Balikpapan,Landing craft,2014,2014,1,Second-hand | for training | aid,-25.274398,133.775136,AUS,-6.314993,143.95555,PNG
Australia,Papua New Guinea,,Guardian,Patrol craft,2014,2018,1,Part of SEA-3036 Pacific Patrol Boat Replacement aid programme | Papuan designation Ted Diro,-25.274398,133.775136,AUS,-6.314993,143.95555,PNG
Australia,Philippines,2,Balikpapan,Landing craft,2015,2015,2,Second-hand | aid,-25.274398,133.775136,AUS,12.879721,121.774017,PHL
Australia,Philippines,3,Balikpapan,Landing craft,(2015),2016,3,Second-hand | PHP270 m ($5.8 m) deal,-25.274398,133.775136,AUS,12.879721,121.774017,PHL
Australia,Samoa,,Guardian,Patrol craft,2014,,,Part of SEA-3036 Pacific Patrol Boat Replacement aid programme,-25.274398,133.775136,AUS,-13.759029,-172.104629,WSM
Australia,Singapore,100,R-600,IFV turret,2009,2010-2011,(100),AUD28 m ($22 m) deal | for Terrex APC/IFV produced in Singapore,-25.274398,133.775136,AUS,1.352083,103.819836,SGP
Australia,Singapore,(35),R-600,IFV turret,2012,2012-2013,(35),AUD25 m ($27 m) deal | for Terrex APC/IFV produced in Singapore,-25.274398,133.775136,AUS,1.352083,103.819836,SGP
Australia,Solomon Islands,,Guardian,Patrol craft,2014,,,Part of SEA-3036 Pacific Patrol Boat Replacement aid programme,-25.274398,133.775136,AUS,-9.64571,160.156194,SLB
Australia,Sri Lanka,2,Bay,Patrol craft,(2014),2014,2,Second-hand | aid,-25.274398,133.775136,AUS,7.873054,80.771797,LKA
Australia,Timor-Leste,,Guardian,Patrol craft,(2017),,,Aid | delivery planned 2023,-25.274398,133.775136,AUS,-8.874217,125.727539,TLS
Australia,Tonga,1,Forgacs 30m,Landing craft,2014,2015,1,Aid | Tongan designation Late,-25.274398,133.775136,AUS,-21.178986,-175.198242,TON
Australia,Tonga,,Guardian,Patrol craft,2014,,,Part of SEA-3036 Pacific Patrol Boat Replacement aid programme,-25.274398,133.775136,AUS,-21.178986,-175.198242,TON
Australia,Trinidad and Tobago,6,Austal-30m,Patrol craft,2008,2010,6,,-25.274398,133.775136,AUS,10.691803,-61.222503,TTO
Australia,Trinidad and Tobago,2,Cape,Patrol craft,2018,,,Selected 2018 but not yet ordered by end-2018,-25.274398,133.775136,AUS,10.691803,-61.222503,TTO
Australia,Tuvalu,,Guardian,Patrol craft,2014,,,Part of SEA-3036 Pacific Patrol Boat Replacement aid programme,-25.274398,133.775136,AUS,-7.109535,177.64933,TUV
Australia,United States,3,KC-707,Tanker/transport ac,2011,2011,3,Second-hand | Boeing-707-338C version | owned and operated by US company and leased per hour to US and other armed forces,-25.274398,133.775136,AUS,37.09024,-95.712891,USA
Australia,Vanuatu,,Guardian,Patrol craft,2014,,,Part of SEA-3036 Pacific Patrol Boat Replacement aid programme,-25.274398,133.775136,AUS,-15.376706,166.959158,VUT
Austria,Uganda,6,Bell-206/OH-58,Light helicopter,2009,2009-2010,(6),Second-hand | AB-2016B-3 version | delivered via FRG company,47.516231,14.550072,AUT,1.373333,32.290275,UGA
Austria,Czechia,20,Pandur-2,APC,2017,,,CZK2.1 b ($82 m) deal | produced in Czech Republic | incl 6 command post and 14 communications version | delivery planned 2018-2020,47.516231,14.550072,AUT,49.817492,15.472962,CZE
Austria,Portugal,158,Pandur-2,APC,2005,2007-2016,(158),Incl ambulance ARV command post mortar carrier and anti-tank versions,47.516231,14.550072,AUT,39.399872,-8.224454,PRT
Austria,Portugal,30,Pandur-2,IFV,2005,2009-2016,(30),,47.516231,14.550072,AUT,39.399872,-8.224454,PRT
Austria,Saudi Arabia,(50),MMV,APC,2014,2015-2016,(50),,47.516231,14.550072,AUT,23.885942,45.079162,SAU
Austria,Spain,(100),SP30,IFV turret,2003,2009-2013,(100),For some 100 ASCOD (Pizarro) IFV produced in Spain,47.516231,14.550072,AUT,40.463667,-3.74922,ESP
Austria,UAE,60,Camcopter S-100,UAV,2006,2006-2010,(60),Incl production of components in UAE | UAE designation Al Saber,47.516231,14.550072,AUT,23.424076,53.847818,ARE
Austria,Argentina,3,DA42,Light aircraft,(2013),2016,3,,47.516231,14.550072,AUT,-38.416097,-63.616672,ARG
Austria,Australia,2,Camcopter S-100,UAV,2016,2017-2018,(2),AUD16 m ($12 m) Minor Project,47.516231,14.550072,AUT,-25.274398,133.775136,AUS
Austria,Bangladesh,6,DA40,Light aircraft,2017,,,DA40NG version,47.516231,14.550072,AUT,23.684994,90.356331,BGD
Austria,Bolivia,9,DA40,Light aircraft,(2009),2010,9,$4 m deal | for training | supplier could be Canada,47.516231,14.550072,AUT,-16.290154,-63.588653,BOL
Austria,Burkina Faso,1,DA42MPP,Reconnaissance ac,(2015),2016,(1),,47.516231,14.550072,AUT,12.238333,-1.561593,BFA
Austria,Czechia,107,Pandur-2,APC,2009,2009-2013,(107),CZK14.4 b ($650 m | offsets 150% incl assembly of 90 in Czech Republic) deal | incl 11 command post 4 ARV and 4 ambulance version,47.516231,14.550072,AUT,49.817492,15.472962,CZE
Austria,France,1,Camcopter S-100,UAV,(2011),2012,1,,47.516231,14.550072,AUT,46.227638,2.213749,FRA
Austria,Ghana,2,DA42MPP,Reconnaissance ac,(2011),2011,2,EUR11.8 m deal,47.516231,14.550072,AUT,7.946527,-1.023194,GHA
Austria,Ghana,(3),DA42MPP,Reconnaissance ac,(2012),2012,3,Incl 2 for maritime patrol,47.516231,14.550072,AUT,7.946527,-1.023194,GHA
Austria,Indonesia,,Pandur-2,APC,2016,2017,(3),Probably from Czech production line,47.516231,14.550072,AUT,-0.789275,113.921327,IDN
Austria,Indonesia,,Pandur-2 FSV,AFSV,2016,2017,(1),From Czech production line,47.516231,14.550072,AUT,-0.789275,113.921327,IDN
Austria,Italy,146,M-16,Diesel engine,2003,2005-2010,(146),For 146 Bv-206S APC from Sweden,47.516231,14.550072,AUT,41.87194,12.56738,ITA
Austria,Jamaica,2,DA42,Light aircraft,(2011),2013,2,DA-42NG version | for training,47.516231,14.550072,AUT,18.109581,-77.297508,JAM
Austria,Jamaica,4,DA40,Light aircraft,2017,,,,47.516231,14.550072,AUT,18.109581,-77.297508,JAM
Austria,Jordan,12,Camcopter S-100,UAV,2010,2011-2012,(12),,47.516231,14.550072,AUT,30.585164,36.238414,JOR
Austria,Kuwait,(56),Pandur,IFV,2010,2013-2014,(56),,47.516231,14.550072,AUT,29.31166,47.481766,KWT
Austria,Kuwait,(24),Pandur,APC,2010,2013-2014,(24),,47.516231,14.550072,AUT,29.31166,47.481766,KWT
Austria,Latvia,47,M-109A5 155mm,Self-propelled gun,2017,2017-2018,(47),Second-hand,47.516231,14.550072,AUT,56.879635,24.603189,LVA
Austria,Libya,4,Camcopter S-100,UAV,2009,2011,4,,47.516231,14.550072,AUT,26.3351,17.228331,LBY
Austria,Montenegro,(4),Survivor-2,APC,2014,2015,(4),,47.516231,14.550072,AUT,42.708678,19.37439,MNE
Austria,Nigeria,(1),DA42MPP,Reconnaissance ac,(2011),2012,(1),,47.516231,14.550072,AUT,9.081999,8.675277,NGA
